Age	Sex	Hand	HK1	HK2	HK3	HK4	HK5	HK6	HK7	HK8	HK9	HK10	HK11	HK12	HK13	HK14	HK15	CONF	PI1	PI2	PI3	PI4	PI5	PI6	PI7	PI8	PI9	PI10	PI11	PI12	PI13	PI14	PI15	PI16	PI17	PI18	PI19	PI20
21	Male	R	4	1	1	4	2	5	4	5	5	4	4	4	3	3	2	4	1	4	5	2	2	1	1	5	3	1	2	1	5	4	1	3	3	1	4	2
21	Male	R	4	1	1	2	4	5	5	4	4	4	5	4	4	2	3	2	4	1	4	4	1	2	1	2	1	1	2	4	5	1	1	2	4	1	2	2
19	Male	R	4	2	3	4	2	4	2	4	1	4	4	2	3	4	2	4	2	3	5	2	2	2	1	3	1	4	4	2	2	2	3	1	3	1	3	3
21	Female	R	5	1	1	5	1	5	5	5	5	5	2	2	1	1	1	5	1	4	5	1	1	2	1	5	5	2	1	1	5	1	1	1	4	1	2	1
19	Male	R	4	1	1	4	2	5	2	5	4	5	5	4	4	1	4	4	2	1	4	2	2	4	1	4	5	2	1	1	4	2	1	1	4	4	4	2
20	Female	R	4	1	1	4	1	5	5	5	5	5	5	5	1	1	4	3	1	2	5	3	2	2	1	5	2	2	1	3	5	2	1	2	4	1	5	2
24	Female	R	4	2	3	4	2	5	3	5	4	3	2	3	4	3	4	3	2	4	4	2	2	4	2	3	4	2	2	2	4	2	2	2	3	2	3	2
20	Male	R	5	1	1	5	4	5	5	5	4	5	3	5	2	1	1	5	2	3	5	2	1	4	1	5	3	4	1	2	4	1	1	1	4	1	4	2
20	Female	R	3	2	3	4	2	5	3	4	3	4	1	4	2	1	1	2	2	1	4	1	1	2	1	4	2	2	1	1	4	1	1	1	3	1	3	1
21	Male	R	5	1	1	4	2	5	5	5	5	4	3	4	2	2	1	5	1	1	5	1	1	1	1	5	5	2	2	1	4	1	1	1	5	1	4	1
22	Female	R	2	1	4	1	5	5	4	4	2	2	5	4	4	3	5	1	4	2	3	5	5	4	2	2	1	4	4	3	5	4	5	2	2	1	4	5
19	Male	R	2	1	4	5	2	5	4	5	3	5	5	4	2	1	5	1	4	1	4	4	1	2	4	4	2	1	4	5	5	2	4	3	5	2	3	1
18	Female	R	2	1	3	2	4	5	5	4	4	4	1	2	3	1	2	3	3	3	3	2	2	4	1	2	1	2	1	4	2	4	1	1	3	4	1	4
19	Female	R	5	3	1	4	2	5	5	5	5	4	5	5	3	1	3	4	3	2	4	2	2	2	1	5	3	1	1	2	5	1	1	1	5	1	2	2
19	Male	R	5	2	1	5	4	5	3	5	5	4	2	2	2	3	1	5	2	2	4	2	1	3	2	4	4	2	2	2	3	2	2	2	4	2	3	2
22	Male	R	2	2	5	2	4	5	4	2	1	4	1	1	4	2	4	2	4	2	4	2	3	4	4	2	2	4	2	4	4	4	1	2	2	2	1	4
